소재지면적,대피가능인원수,소재지전체주소,좌표정보(X),좌표정보(Y),id
4386,5316,서울특별시 종로구 당주동 128번지 27호,197484.9839,452162.3045,0
11969,14508,서울특별시 종로구 적선동 80번지,197567.85,452567.1596,0
264,320,서울특별시 종로구 연건동 128번지 9호,200056.4696,452761.767,0
198,240,서울특별시 종로구 신교동 1번지 1호,197155.2577,453637.54,0
183.36,222,서울특별시 종로구 계동 35번지,198860.718,453291.5609,0
8200,9939,서울특별시 종로구 수송동 58번지,198324.6536,452252.8124,0
161,195,서울특별시 종로구 숭인동 55번지 2호,201311.0989,452837.2844,0
7085,8588,서울특별시 종로구 창신동 20번지 8호,201272.1662,453016.9574,0
175537,212772,서울특별시 종로구 청진동 70번지,198286.3118,452091.4443,0
2489,3017,서울특별시 종로구 종로5가 492번지 1호,200937.7513,452164.2234,0
2970,3600,서울특별시 종로구 세종로 81번지 3호,197804.3578,452216.5393,0
2343,2840,서울특별시 종로구 연지동 263번지,200029.6567,452241.8523,0
9243,11204,서울특별시 종로구 수송동 104번지,198152.2617,452419.866,0
3169,3841,서울특별시 종로구 동숭동 169번지 1호,200189.2381,452947.0768,0
5603,6792,서울특별시 종로구 종로3가 10번지 5호,199126.1133,452017.807,0
646,783,서울특별시 종로구 돈의동 137번지,199155.5427,452083.1231,0
537,651,서울특별시 종로구 경운동 90번지 4호,198579.8139,452634.5473,0
6487,7863,서울특별시 종로구 수송동 80번지 6호,198204.8373,452293.4325,0
3771,4571,서울특별시 종로구 종로1가 1번지 2호,198720.7546,452296.0439,0
6847,8299,서울특별시 종로구 수송동 146번지 1호,198076.879,452402.1953,0
9646,11692,서울특별시 종로구 종로1가 1번지,197993.9046,452032.9586,0
8896,10783,서울특별시 종로구 관훈동 192번지 18호,198550.7946,452315.5228,0
3894,4720,서울특별시 종로구 운니동 98번지 5호,198952.5016,452729.3193,0
49500,60000,서울특별시 종로구 세종로 80번지 1호,197802.7077,452342.7598,0
2392,2899,서울특별시 종로구 종로4가 183번지,199845.4776,452063.1481,0
3201,3880,서울특별시 종로구 인의동 28번지 9호,199761.0624,452253.7419,0
184,223,서울특별시 종로구 인의동 48번지 57호,199828.9511,452195.0911,0
745.71,904,서울특별시 종로구 원서동 165번지,198918.174,452972.5571,0
3440,4170,서울특별시 종로구 무악동 88번지,196362.3835,452605.6409,0
5972,7239,서울특별시 서대문구 현저동 101번지,196058.4416,452437.0943,0
4910,5952,서울특별시 종로구 신문로2가 89번지 29호,197346.6474,451845.2373,0
8637,10469,서울특별시 종로구 당주동 100번지,197573.0307,452175.3358,0
12094,14659,서울특별시 종로구 당주동 5번지,197662.5039,452189.0924,0
7088,8592,서울특별시 종로구 당주동 145번지,197607.3983,452120.026,0
9230,11188,서울특별시 종로구 도렴동 60번지,197650.6537,452368.5193,0
627,760,서울특별시 종로구 창신동 138번지 32호,201002.6607,452378.6885,0
1598,1937,서울특별시 종로구 평동 108번지 1호,197111.9696,451776.4437,0
9244,11205,서울특별시 종로구 평동 210번지,197004.8877,451543.629,0
2640,3200,서울특별시 종로구 무악동 83번지,196295.292,452569.5944,0
2970,3600,서울특별시 종로구 무악동 82번지,196467.9751,452566.134,0
146,177,서울특별시 종로구 무악동 60번지 2호,196232.6215,452626.8746,0
11370.9,13783,서울특별시 종로구 무악동 46번지,196392.2224,452339.443,0
603,731,서울특별시 종로구 종로4가 126번지 2호,199797.095,452013.8986,0
6118,7416,서울특별시 종로구 수송동 80번지,198203.264,452348.3878,0
8035,9739,서울특별시 종로구 종로1가 54번지,198288.6086,451994.0595,0
455,552,서울특별시 종로구 세종로 1번지 58호,197977.6096,452641.0433,0
21017,25475,서울특별시 종로구 공평동 100번지,198375.2904,452091.9837,0
6382,7736,서울특별시 종로구 인사동 194번지 27호,198592.5975,452190.9927,0
310,376,서울특별시 종로구 창신동 432번지,201071.3452,452070.8452,0
4158,5040,서울특별시 종로구 종로5가 82번지 1호,200102.7621,452082.5373,0
3580,4339,서울특별시 종로구 연지동 1번지 7호,199976.7655,452526.5273,0
15750,19091,서울특별시 종로구 연지동 270번지,200038.3431,452178.7745,0
4725,5727,서울특별시 종로구 연지동 1번지 1호,199886.0479,452569.4747,0
10464,12684,서울특별시 종로구 종로5가 82번지 1호,200102.7621,452082.5373,0
19918,24143,서울특별시 종로구 세종로 81번지 3호,197804.3578,452216.5393,0
14915,18079,서울특별시 종로구 창신동 232번지,201192.5343,452436.247,0
1984,2405,서울특별시 종로구 창신동 327번지 2호,201282.3783,452249.6437,0
1277,1548,서울특별시 종로구 숭인동 200번지 26호,201728.0108,452416.8255,0
1122,1360,서울특별시 종로구 숭인동 204번지 11호,201747.3879,452204.7685,0
10532,12766,서울특별시 종로구 수송동 110번지,198207,452455.8332,0
4653,5640,서울특별시 종로구 서린동 136번지,198062.8876,451944.4996,0
435,527,서울특별시 종로구 수송동 146번지 12호,198087.6648,452355.9198,0
218,264,서울특별시 종로구 옥인동 45번지 30호,197214.5999,453280.0721,0
16500,20000,서울특별시 종로구 관수동 20번지,199045.0436,451939.6773,0
345,418,서울특별시 종로구 이화동 149번지 1호,200314.5612,452742.6152,0
149,181,서울특별시 종로구 창신동 7번지 40호,201185.1625,453254.323,0
900.13,1091,서울특별시 종로구 평창동 153번지 3호,197349.1734,456108.8103,0
979.67,1187,서울특별시 종로구 평창동 577번지 7호,197807.8139,456469.3038,0
537,651,서울특별시 종로구 서린동 154번지 1호,197995.2188,451945.0472,0
5834.14,7072,서울특별시 종로구 신교동 66번지,197264.6019,453532.3937,0
17047,20663,서울특별시 종로구 연지동 136번지 74호,199998.5561,452379.4978,0
545,661,서울특별시 종로구 숭인동 1390번지,201962.629,452377.4051,0
4013,4864,서울특별시 종로구 세종로 191번지 1호,197835.1346,452074.6984,0
55090,66776,서울특별시 종로구 종로4가 32번지 19호,199624.7711,452077.4205,0
9865,11958,서울특별시 종로구 적선동 156번지,197595.1613,452460.0546,0
6030,7309,서울특별시 종로구 내자동 223번지,197547.8443,452453.7518,0
180.94,219,서울특별시 종로구 명륜3가 1번지 1042호,199345.2546,454257.4791,0
10051,12183,서울특별시 종로구 세종로 1번지 68호,197889.898,452238.3237,0
10098,12240,서울특별시 종로구 안국동 155번지 2호,198609.9937,452684.8376,0
209,253,서울특별시 종로구 창신동 578번지 5호,200903.9065,452234.557,0
255,309,서울특별시 종로구 창신동 583번지 3호,200889.0757,452462.7967,0
861,1044,서울특별시 종로구 삼청동 105번지 1호,198322.1718,453630.6342,0
132,160,서울특별시 종로구 창신동 530번지 1호,201012.2224,452224.3917,0
746,904,서울특별시 종로구 동숭동 1번지 5호 동숭아트센타,200257.1157,453485.12,0
148,179,서울특별시 종로구 궁정동 12번지 1호,197333.391,453537.7265,0
4671,5662,서울특별시 종로구 명륜4가 96번지 5호,200090.7118,453314.646,0
435,527,서울특별시 종로구 낙원동 58번지 8호,198954.7659,452396.7525,0
2014.13,2441,서울특별시 종로구 청진동 220번지 4호,198078.4742,452230.3519,0
495,600,서울특별시 종로구 무악동 46번지 82호,196420.2616,452435.1466,0
2330,2824,서울특별시 종로구 인의동 112번지 1호,199682.1089,452278.2439,0
405,491,서울특별시 종로구 연건동 187번지 1호,200164.0193,452614.7767,0
1781,2159,서울특별시 종로구 구기동 244번지 7호,195927.4303,456279.6111,0
3159.53,3830,서울특별시 종로구 명륜3가 53번지,199554.0744,453721.4627,0
312,378,서울특별시 종로구 신교동 1번지 4호,197063.8145,453610.0148,0
2754,3338,서울특별시 종로구 혜화동 90번지 18호,200113.8747,453549.5264,0
574.88,697,서울특별시 종로구 명륜2가 41번지 4호,199932.2227,453488.4722,0
5330.16,6461,서울특별시 종로구 계동 140번지 2호,198817.289,452901.7867,0
1042,1263,서울특별시 종로구 삼청동 28번지 7호,198468.3396,453777.7516,0
23601,28607,서울특별시 종로구 세종로 100번지,197982.8896,452206.1231,0
10939,13259,서울특별시 종로구 묘동 20번지 5호,199214.362,452131.7444,0
458.86,556,서울특별시 종로구 가회동 156번지,198586.8994,453089.8111,0
12936,15680,서울특별시 종로구 숭인동 766번지,201798.8349,452637.557,0
1474.75,1788,서울특별시 종로구 혜화동 1번지 21호,199828.1599,454227.4795,0
1616,1959,서울특별시 종로구 홍지동 7번지 1호,195960.546,455612.1227,0
5588.57,6774,서울특별시 종로구 홍지동 7번지 1호,195960.546,455612.1227,0
450,545,서울특별시 종로구 신영동 219번지 4호,196483.4331,455658.0533,0
5501,6668,서울특별시 종로구 숭인동 117번지,201444.4699,452367.3653,0
660,800,서울특별시 종로구 행촌동 209번지 15호,196429.6512,452328.4261,0
9473,11482,서울특별시 종로구 숭인동 316번지 3호,201327.3129,452148.8267,0
1838,2228,서울특별시 종로구 평창동 2번지 12호,198181.1955,456591.8286,0
9866,11959,서울특별시 종로구 종로6가 287번지 1호,200764.42,452037.7381,0
1023,1240,서울특별시 종로구 사직동 284번지 1호,196809.4581,452443.3092,0
547,663,서울특별시 종로구 세종로 1번지 68호,197889.898,452238.3237,0
10992,13324,서울특별시 종로구 적선동 81번지 1호,197563.5358,452607.7674,0
5490,6655,서울특별시 종로구 창신동 492번지 1호,200924.8799,452164.2234,0
211,256,서울특별시 종로구 사직동 1번지 38호,197136.3977,452566.4353,0
346.67,420,서울특별시 종로구 명륜4가 188번지 10호,199773.2142,453323.9007,0
4115,4988,서울특별시 종로구 서린동 159번지 1호,197993.004,451917.0625,0
9661,11710,서울특별시 종로구 부암동 272번지 7호,196786.6828,454482.1613,0
1295,1570,서울특별시 종로구 무악동 60번지,196171.3263,452746.033,0
6814.83,8260,서울특별시 종로구 명륜3가 53번지 21호,199231.3456,454019.3609,0
2908.19,3525,서울특별시 종로구 창신동 328번지 18호,201273.8878,452163.2925,0
3486.51,4226,서울특별시 종로구 연건동 28번지 14호,199999.4138,452828.1531,0
1797,2178,서울특별시 종로구 평창동 186번지 9호 평창동 주민센터,197134.4556,456004.4766,0
1164,1411,서울특별시 종로구 창신동 222번지 8호,201209.9446,452357.9594,0
986,1195,서울특별시 종로구 세종로 78번지 1호,197843.3871,452466.0861,0
3960,4800,서울특별시 종로구 종로6가 242번지 1호,200480.1776,452225.923,0
700.32,849,서울특별시 종로구 명륜2가 21번지 1호,199984.3877,453577.7585,0
1938.46,2350,서울특별시 종로구 명륜1가 46번지 7호,199905.3802,453792.5092,0
825.75,1001,서울특별시 종로구 혜화동 5번지 55호,200039.1088,454224.9476,0
747.77,906,서울특별시 종로구 혜화동 90번지 1호,200306.3943,453747.6508,0
200,242,서울특별시 종로구 창신동 13번지 80호,201072.9861,453013.7277,0
438,531,서울특별시 종로구 행촌동 180번지 10호,196568.9766,452181.0804,0
995,1206,서울특별시 종로구 송월동 112번지 27호,196886.5503,451895.3051,0
9875,11970,서울특별시 중구 충무로2가 109번지 2호,198670.0286,450951.5055,0
1412,1712,서울특별시 중구 황학동 370번지 1호,201634.149,451785.8271,0
2021,2450,서울특별시 중구 태평로1가 31번지,198004.7379,451589.339,0
1208,1464,서울특별시 중구 신당동 844번지 5호,201042.3577,449952.5095,0
356,432,서울특별시 중구 남대문로3가 110번지,198162.5954,451097.0829,0
1056,1280,서울특별시 중구 회현동1가 115번지,198302.9219,450437.5956,0
71343,86476,서울특별시 중구 신당동 844번지,200750.4551,449638.8243,0
2851,3456,서울특별시 중구 충무로2가 49번지 11호,199022.8177,451132.8909,0
10408,12616,서울특별시 중구 을지로1가 100번지 1호,198347.5447,451530.7978,0
1970,2388,서울특별시 중구 인현동2가 192번지 30호,199559.8129,451275.2425,0
904,1096,서울특별시 중구 쌍림동 151번지 11호,200247.0981,451193.483,0
8890,10776,서울특별시 중구 장충동2가 199번지 3호,200382.1067,450770.8465,0
4217,5112,서울특별시 중구 장충동2가 186번지 54호,200141.9985,450878.103,0
3894,4720,서울특별시 중구 을지로1가 16번지,198119.6553,451578.1858,0
7187,8712,서울특별시 중구 수표동 47번지 6호,198989.3946,451675.0918,0
47064,57047,서울특별시 중구 신당동 842번지,201230.1673,450277.6002,0
33660,40800,서울특별시 중구 신당동 843번지,201511.5901,450655.0625,0
14430,17491,서울특별시 중구 을지로2가 149번지 10호,198871.1486,451537.6072,0
10785,13073,서울특별시 중구 신당동 369번지 2호,200857.7999,450277.009,0
4150,5030,서울특별시 중구 만리동1가 62번지 7호,197034.0284,450305.6449,0
24454,29641,서울특별시 중구 신당동 844번지,200750.4551,449638.8243,0
884,1072,서울특별시 중구 방산동 4번지 10호,200116.0704,451865.3444,0
448,543,서울특별시 중구 태평로1가 25번지,197964.0955,451694.0357,0
63954,77520,서울특별시 중구 소공동 1번지,198259.6536,451392.1982,0
13993,16961,서울특별시 중구 태평로2가 23번지,197979.0212,451376.7834,0
1911,2316,서울특별시 중구 신당동 849번지,201421.0258,451162.2386,0
19215,23291,서울특별시 중구 흥인동 162번지 1호,201363.7776,451662.5108,0
3059,3708,서울특별시 중구 남대문로4가 13번지 3호,198069.0973,450987.4967,0
5655,6855,서울특별시 중구 남대문로2가 9번지 9호,198354.1219,451309.7363,0
8322,10087,서울특별시 중구 서소문동 90번지 1호,197768.2006,451254.6706,0
10701,12971,서울특별시 중구 필동2가 16번지 2호,199429.3813,450992.4693,0
2487,3015,서울특별시 중구 신당동 198번지 3호,201193.1533,451729.4479,0
