민방위대피시설명,소재지도로명주소,소재지지번주소,lat,lon,민방위대피시설면적,대피가능인원수
은평경찰서,"서울특별시 은평구 연서로 365 (불광동, 은평경찰서)",서울특별시 은평구 불광동 24,37.6280204,126.9287899,1074.39,1302
메트로타워,"서울특별시 은평구 통일로 856 (불광동, 메트로타워)",서울특별시 은평구 불광동 311-13,37.619634,126.921408,11092,13445
미미아파트(전동 지하),"서울특별시 은평구 갈현로29길 11 (갈현동, 미미아파트)",서울특별시 은평구 갈현동 538,37.6188712,126.9136949,8499.21,10302
한솔아파트(전동 지하),"서울특별시 은평구 갈현로23길 41 (갈현동, 한솔아파트)",서울특별시 은평구 갈현동 539,37.6180043,126.9099695,5031.43,6099
우남아파트(전동 지하),"서울특별시 은평구 서오릉로 258 (갈현동, 우남아파트)",서울특별시 은평구 갈현동 540,37.6178241,126.9067563,6118.73,7417
은평구청(보건소),"서울특별시 은평구 은평로 195 (녹번동, 은평구종합청사)",서울특별시 은평구 녹번동 84,37.6024515,126.9293311,674.38,817
은평문화예술회관,"서울특별시 은평구 녹번로 16 (녹번동, 은평문화예술회관)",서울특별시 은평구 녹번동 85-4,37.6036744,126.927865,5117.38,6202
역촌역(6호선),"서울특별시 은평구 서오릉로 지하 63 (녹번동, 6호선 역촌역사무소)",서울특별시 은평구 녹번동 144-69,37.60603923,126.9229674,6644.66,8054
불광역(3호선),"서울특별시 은평구 통일로 지하 723-1 (대조동, 3,6호선 불광역사무소)",서울특별시 은평구 대조동 14-1,37.6104759,126.9292194,6412,7772
연신내역(3호선),"서울특별시 은평구 통일로 지하 849 (갈현동, 3,6호선 연신내역사무소)",서울특별시 은평구 갈현동 397,37.6410526,126.9218894,8895.9,10783
구산역(6호선),"서울특별시 은평구 연서로 지하 137-1 (구산동, 6호선 구산역사무소)",서울특별시 은평구 구산동 1,37.6047505,126.9148644,4844,5872
현재트윈빌아파트(전동 지하),"서울특별시 은평구 서오릉로20길 5-10 (갈현동, 현재트윈빌아파트)",서울특별시 은평구 갈현동 542-1,37.6165737,126.9084284,7560.36,9164
연신내역(6호선),"서울특별시 은평구 통일로 지하 849 (갈현동, 3,6호선 연신내역사무소)",서울특별시 은평구 갈현동 397,37.6410526,126.9218894,8489.29,10290
독바위역(6호선),"서울특별시 은평구 불광로 지하 129-1 (불광동, 6호선 독바위역사무소)",서울특별시 은평구 불광동 13-33,37.6154993,126.9295016,5620,6812
시립은평병원,"서울특별시 은평구 백련산로 90 (응암동, 은평병원)",서울특별시 은평구 응암동 232-3,37.5937651,126.9236307,2903.49,3519
응암역(6호선),"서울특별시 은평구 증산로 지하 477 (역촌동, 6호선 응암역사무소)",서울특별시 은평구 역촌동 85-41,37.5989284,126.9154095,8148.8,9877
시립서북병원,"서울특별시 은평구 갈현로7길 49 (역촌동, 서울서북병원)",서울특별시 은평구 역촌동 31-1,37.6041552,126.9048703,9788.47,11864
새절역(6호선),"서울특별시 은평구 증산로 지하 400 (신사동, 6호선 새절역사무소)",서울특별시 은평구 신사동 337-5,37.59182615,126.9139102,7047.97,8543
증산역(6호선),"서울특별시 은평구 증산로 지하 306 (증산동, 6호선 증산역사무소)",서울특별시 은평구 증산동 199-8,37.5889198,126.9123086,8722.34,10572
