역명,지번주소
응암역,서울특별시 은평구 역촌동 85-41
역촌역,서울특별시 은평구 녹번동 144-69
불광역,서울특별시 은평구 대조동 14-1
독바위역,서울특별시 은평구 불광동 13-33
연신내역,서울특별시 은평구 갈현동 397
구산역,서울특별시 은평구 구산동 1
새절역(신사),서울특별시 은평구 신사동 337-5
증산역(명지대앞),서울특별시 은평구 증산동 199-8
디지털미디어시티역,서울특별시 은평구 수색동 37-36
월드컵경기장역(성산),서울특별시 마포구 성산동 420
마포구청역,서울특별시 마포구 성산동 592
망원역,서울특별시 마포구 망원동 378
합정역,서울특별시 마포구 합정동 414
상수역,서울특별시 마포구 상수동 309-10
광흥창역(서강),서울특별시 마포구 창전동 145-17
대흥역(서강대앞),서울특별시 마포구 대흥동 128-1
효창공원앞역(용산구청),서울특별시 용산구 효창동 246-1
삼각지역,서울특별시 용산구 한강로1가 228-1
녹사평역,서울특별시 용산구 용산동 4가 4
이태원역,서울특별시 용산구 이태원동 119-23
한강진역,서울특별시 용산구 한남동 726-494
버티고개역,서울특별시 중구 신당동 366-454
약수역,서울특별시 중구 신당동 369-2
신당역,서울특별시 중구 흥인동 162-1
동묘앞역,서울특별시 종로구 숭인동 316-3
창신역,서울특별시 종로구 창신동 20-8
보문역,서울특별시 성북구 보문동 1가 127-1
안암역(고대병원앞),서울특별시 성북구 안암동5가 146-1
고려대역(종암),서울특별시 성북구 종암동 29-18
월곡역(동덕여대),서울특별시 성북구 하월곡동 35-1
상월곡역(한국과학기술연구원),서울특별시 성북구 상월곡동 26-1
돌곶이역,서울특별시 성북구 석관동 349-8
석계역,서울특별시 노원구 월계동 25-2
화랑대역(서울여대입구),서울특별시 노원구 공릉동 285-2
봉화산역,서울특별시 중랑구 신내동 643-1
